Name,College,ERA,Batting_Avg,Strikeouts,Innings_Pitched,Walks_Allowed,Hits_Allowed,Homeruns_Allowed,Int_Walks_Allowed,Hit_Batters,Games,Games_Started
A. J. Burnett,,4.55,0.237,7,11,7,10,2,2,1,2,2
A. J. Griffin,University of San Diego,3.6,0.35,4,20,0,28,4,0,0,4,4
Aaron Sanchez,,3.68,0.141,16,16,7,8,2,0,0,7,2
Adam Wainwright,,3.76,0.253,93,86,15,85,9,1,1,17,13
Adam Warren,University of North Carolina at Chapel Hill,0,0,4,12,4,0,0,0,0,8,0
Addison Reed,San Diego State University,9.82,0.267,3,9,3,12,0,3,0,15,0
Al Alburquerque,,2.25,0.154,7,4,2,2,0,1,0,6,0
Alex Claudio,,0,0.2,0,5,3,3,0,0,0,2,0
Alex Cobb,,1.8,0.273,10,11,3,13,0,0,1,2,2
Alex Torres,,0,0.143,5,4,0,2,0,0,1,3,0
Alex Wood,University of Georgia,2.42,0.162,66,51,15,30,18,6,3,27,6
Alexi Ogando,,0.59,0.103,16,10,2,4,1,0,0,6,0
Andrew Miller,University of North Carolina at Chapel Hill,0.76,0.131,153,99,24,54,9,0,3,66,0
Andy Pettitte,"San Jacinto College, North Campus",2.93,0.228,19,27,5,24,2,1,0,4,4
Anibal Sanchez,,3.6,0.23,62,57,19,51,9,1,2,10,10
Antonio Senzatela,,3.6,0.176,1,5,2,3,1,0,0,1,1
Archie Bradley,,0,0.167,5,4,3,3,0,0,0,2,0
Aroldis Chapman,,2.62,0.204,34,22,10,17,1,1,1,19,0
Barry Zito,"University of California, Santa Barbara",0.8,0.244,27,36,6,36,0,3,0,6,6
Bartolo Colon,,3,0.307,10,13,3,17,1,3,1,7,1
Blake Snell,,1.69,0.2,7,5,0,4,1,0,0,3,1
Boone Logan,Temple College,0,0.273,1,3,0,3,0,0,0,3,0
Brad Lidge,University of Notre Dame,0,0.25,15,9,6,9,0,3,3,9,0
Brad Peacock,,2.73,0.123,12,10,6,5,0,0,1,7,0
Brandon Kintzler,,5.4,0.125,2,3,2,1,0,0,1,3,0
Brandon Morrow,"University of California, Berkeley",3.63,0.189,36,36,6,33,9,0,0,42,0
Brandon Woodruff,,1.39,0.121,23,16,3,9,1,1,2,5,2
Brandon Workman,University of Texas at Austin,0,0.216,12,21,9,18,0,3,0,18,0
Brett Anderson,,9,0.272,9,9,2,9,1,0,0,2,2
Brett Cecil,University of Maryland,0,0,12,9,3,0,0,0,0,9,0
Brian Duensing,University of Nebraska at Lincoln,7.88,0.269,12,21,12,24,3,3,0,12,3
Brian Matusz,University of San Diego,2.08,0.143,15,12,6,6,3,3,0,15,0
Brian Wilson,Louisiana State University,0,0.157,40,30,12,16,0,0,2,26,0
Bronson Arroyo,,0.85,0.118,6,12,4,5,0,0,0,2,2
Bryan Shaw,California State University Long Beach,2.02,0.215,57,51,18,48,3,9,0,45,0
Bud Norris,"California Polytechnic State University, San Luis Obispo",4.16,0.258,27,30,6,33,3,0,0,6,6
C. J. Wilson,Santa Ana College,4.91,0.222,129,153,87,138,30,18,12,30,27
CC Sabathia,,5.56,0.303,65,65,32,76,7,3,3,14,13
Carl Pavano,,6,0.385,3,6,1,10,1,0,0,1,1
Carlos Carrasco,,1.69,0.234,10,10,4,9,0,0,1,2,2
Carlos Marmol,,0,0.083,5,3,1,1,0,0,0,2,0
Carlos Martinez,,6.9,0.223,13,13,5,12,2,2,1,12,0
Chad Green,,4.03,0.222,12,13,5,11,2,1,0,9,1
Charlie Morton,,3.02,0.228,42,37,15,31,4,0,2,8,7
Chris Capuano,Duke University,0,0,9,9,9,0,0,0,0,3,0
Chris Carpenter,,3.15,0.276,30,49,17,50,5,2,3,9,9
Chris Devenski,,8.1,0.231,8,8,2,7,3,0,1,8,0
Chris Hatcher,University of North Carolina at Wilmington,0,0,15,9,3,0,0,0,0,12,0
Chris Narveson,,10.8,0.25,8,5,1,5,3,1,0,4,0
Chris Rusin,University of Kentucky,0,0.2,8,12,8,8,0,0,0,12,0
Chris Sale,Florida Gulf Coast University,5.28,0.215,108,72,27,72,15,0,3,21,12
Chris Tillman,,6.04,0.265,13,13,4,15,4,0,0,3,3
Chris Withrow,,2.08,0.154,2,4,5,2,0,0,0,3,0
Chris Young,Princeton University,2.89,0.167,36,30,12,16,4,0,0,8,4
Clay Buchholz,McNeese State University,3.73,0.281,42,48,18,56,6,2,2,10,10
Clayton Kershaw,,4.38,0.216,159,140,36,115,21,4,3,27,23
Clayton Richard,University of Michigan,0,0.214,2,4,1,3,0,0,0,4,0
Cliff Lee,Meridian Community College,3.89,0.242,168,123,12,117,6,0,3,18,18
Cody Allen,High Point University,0.42,0.186,32,18,8,13,0,1,1,14,0
Cody Eppley,Virginia Commonwealth University,0,0.25,16,12,4,16,0,0,0,16,0
Colby Lewis,Bakersfield College,2.49,0.182,90,102,50,70,14,0,6,18,16
Cole Hamels,,4.38,0.221,40,37,9,30,3,2,1,6,6
Colin Poche,,2.08,0.133,6,4,0,2,1,0,0,5,0
Collin McHugh,,2.25,0.122,5,14,3,9,2,0,1,3,2
Corbin Burnes,,1.8,0.133,11,9,1,4,0,0,1,6,0
Corey Kluber,Stetson University,4.98,0.255,141,132,39,132,30,0,15,27,27
Corey Knebel,University of Texas at Austin,0.65,0.048,42,30,9,6,0,0,3,27,0
Craig Breslow,Yale University,0,0.129,24,24,20,12,0,4,4,28,0
Craig Kimbrel,,3.58,0.179,13,12,7,8,1,0,1,11,0
Craig Stammen,University of Dayton,5.63,0.294,15,21,6,24,3,0,9,18,0
Dakota Hudson,,1.93,0.294,2,4,2,5,1,0,0,1,1
Dallas Keuchel,University of Arkansas,3.26,0.224,156,174,60,156,24,9,0,36,33
Dan Otero,Duke University,1.35,0.184,12,32,4,24,4,0,0,28,0
Dan Straily,Western Oregon University,4.5,0.19,24,18,0,12,3,0,3,3,3
Daniel Hudson,Old Dominion University,8.72,0.372,33,27,3,48,6,3,0,12,3
Danny Duffy,,5.46,0.258,10,6,4,6,0,0,0,4,0
Danny Salazar,,3.38,0.175,8,7,4,5,1,1,0,3,1
Darren O'Day,University of Florida,0,0,16,20,4,0,0,0,0,16,0
Darren Oliver,,4.15,0.188,5,4,1,3,0,0,0,3,0
David Hernandez,,3.6,0.118,5,5,0,2,1,0,0,4,0
David Price,Vanderbilt University,5.17,0.251,249,264,66,258,39,3,9,51,39
David Robertson,University of Alabama,2.73,0.181,42,32,8,24,4,0,0,24,0
Dellin Betances,,2.85,0.157,9,6,4,4,0,1,0,5,0
Derek Holland,,3.33,0.247,22,32,11,31,7,0,1,10,4
Derek Lowe,,2.31,0.15,14,11,6,6,1,1,0,2,2
Devin Smeltzer,,0,0.182,4,3,3,2,0,0,0,1,0
Diego Castillo,,0,0.231,5,3,2,3,0,0,0,3,1
Doug Fister,California State University Fresno,2.38,0.252,80,108,32,108,4,0,6,18,16
Drew Pomeranz,University of Mississippi,4.91,0.286,21,9,6,12,3,3,0,6,0
Drew Storen,Stanford University,9,0.2,12,8,6,6,0,0,0,8,0
Dustin May,,2.7,0.3,1,3,1,3,0,0,0,2,0
Dylan Floro,,0,0.214,5,4,2,3,0,0,0,5,0
Edinson Volquez,,5.21,0.209,26,33,21,23,4,2,2,6,6
Eduardo Rodriguez,,5.68,0.174,7,6,2,4,1,1,1,3,1
Edward Mujica,,1.5,0.275,4,7,1,7,0,0,0,8,0
Edwin Jackson,,6.02,0.287,18,23,12,28,5,0,0,6,5
Felix Doubront,,1.93,0.125,3,4,1,2,0,1,0,2,0
Fernando Salas,,3.79,0.206,16,16,4,15,1,1,0,15,0
Francisco Liriano,,3.55,0.19,17,18,6,13,0,0,2,3,3
Francisco Rodriguez,,3,0.273,4,3,1,3,0,0,0,3,0
Freddy Garcia,,4.03,0.297,12,11,2,14,3,1,0,2,2
Freddy Peralta,,0,0,6,3,3,0,0,0,0,1,0
